Update,Episode,Step,dy,dx,vy,thrust,pitch,reward
0,0,0,11.75,3.52,-0.20,0.11,-0.54,-0.011
0,0,1,11.74,3.52,-0.39,0.14,-0.52,-0.011
0,0,2,11.73,3.52,-0.58,0.18,-0.76,-0.011
0,0,3,11.71,3.52,-0.76,0.02,-0.51,-0.011
0,0,4,11.69,3.52,-0.96,0.09,-0.86,-0.011
0,0,5,11.67,3.52,-1.15,0.07,-0.23,-0.011
0,0,6,11.64,3.52,-1.34,0.23,-0.51,-0.011
0,0,7,11.61,3.52,-1.53,0.08,-0.37,-0.011
0,0,8,11.58,3.52,-1.72,0.12,-0.37,-0.012
0,0,9,11.54,3.52,-1.91,0.05,-0.49,-0.012
0,0,10,11.50,3.52,-2.10,0.04,-0.36,-0.012
0,0,11,11.45,3.52,-2.30,0.25,-0.50,-0.012
0,0,12,11.40,3.52,-2.48,0.09,-0.00,-0.012
0,0,13,11.35,3.52,-2.67,0.12,-0.24,-0.012
0,0,14,11.29,3.52,-2.86,0.07,-0.51,-0.012
0,0,15,11.23,3.52,-3.06,0.35,-0.52,-0.012
0,0,16,11.17,3.52,-3.23,0.05,-0.45,-0.012
0,0,17,11.10,3.52,-3.43,0.13,-0.68,-0.012
0,0,18,11.03,3.52,-3.62,0.17,-0.48,-0.012
0,0,19,10.95,3.52,-3.81,0.11,-0.78,-0.012
0,0,20,10.87,3.52,-4.00,0.13,-0.52,-0.012
0,0,21,10.79,3.52,-4.19,0.05,-0.34,-0.013
0,0,22,10.70,3.52,-4.38,0.02,-0.22,-0.013
0,0,23,10.61,3.52,-4.57,0.13,-0.41,-0.013
0,0,24,10.51,3.52,-4.76,0.12,-0.76,-0.013
0,0,25,10.41,3.52,-4.95,0.17,-0.41,-0.013
0,0,26,10.31,3.52,-5.14,0.12,-0.40,-0.013
0,0,27,10.20,3.52,-5.33,0.17,-0.11,-0.013
0,0,28,10.09,3.52,-5.52,0.15,0.18,-0.013
0,0,29,9.98,3.52,-5.71,0.23,-0.70,-0.013
0,0,30,9.86,3.52,-5.89,0.12,-0.36,-0.013
0,0,31,9.74,3.52,-6.08,0.12,-0.54,-0.014
0,0,32,9.61,3.52,-6.27,0.10,-0.28,-0.014
0,0,33,9.48,3.52,-6.46,0.04,-0.48,-0.014
0,0,34,9.35,3.52,-6.66,0.28,-0.53,-0.014
0,0,35,9.21,3.52,-6.84,0.12,-0.34,-0.014
0,0,36,9.07,3.52,-7.03,0.08,-0.43,-0.014
0,0,37,8.93,3.52,-7.22,0.15,-0.54,-0.014
0,0,38,8.78,3.52,-7.41,0.17,-0.35,-0.014
0,0,39,8.63,3.52,-7.60,0.25,0.30,-0.015
0,0,40,8.47,3.52,-7.78,0.14,-0.00,-0.015
0,0,41,8.31,3.52,-7.97,0.08,-0.44,-0.015
0,0,42,8.15,3.52,-8.17,0.09,0.27,-0.015
0,0,43,7.98,3.52,-8.36,0.08,-0.10,-0.015
0,0,44,7.81,3.52,-8.55,0.36,-0.22,-0.015
0,0,45,7.64,3.52,-8.73,0.19,-0.04,-0.016
0,0,46,7.46,3.52,-8.92,0.18,-0.66,-0.016
0,0,47,7.28,3.52,-9.10,0.38,-0.31,-0.016
0,0,48,7.09,3.52,-9.28,0.26,-0.10,-0.016
0,0,49,6.90,3.52,-9.46,0.34,-0.58,-0.017
0,0,50,6.71,3.52,-9.64,0.08,-0.48,-0.017
0,0,51,6.51,3.52,-9.84,0.19,0.22,-0.017
0,0,52,6.31,3.52,-10.02,0.28,-0.11,-0.017
0,0,53,6.11,3.52,-10.20,0.31,0.35,-0.018
0,0,54,5.90,3.52,-10.38,0.40,-0.18,-0.018
0,0,55,5.69,3.52,-10.56,0.33,0.07,-0.018
0,0,56,5.47,3.52,-10.74,0.35,-0.18,-0.019
0,0,57,5.25,3.52,-10.92,0.11,0.32,-0.019
0,0,58,5.03,3.52,-11.11,0.17,-0.06,-0.020
0,0,59,4.80,3.52,-11.30,0.13,0.39,-0.020
0,0,60,4.57,3.52,-11.49,0.25,-0.09,-0.021
0,0,61,4.34,3.52,-11.67,0.25,-0.24,-0.022
0,0,62,4.10,3.52,-11.86,0.41,0.54,-0.022
0,0,63,3.86,3.52,-12.03,0.17,0.05,-0.023
0,0,64,3.62,3.52,-12.22,0.26,-0.31,-0.010
0,0,65,3.56,3.52,0.10,0.29,-0.47,-0.010
0,0,66,3.56,3.52,0.00,0.36,0.22,-0.010
0,0,67,3.56,3.52,0.01,0.26,-0.42,-0.010
0,0,68,3.56,3.52,0.01,0.06,-0.78,-0.010
0,0,69,3.56,3.52,-0.00,0.32,-0.56,-0.010
0,0,70,3.56,3.52,-0.01,0.32,-0.36,-0.010
0,0,71,3.56,3.52,-0.02,0.28,-0.39,-0.010
0,0,72,3.56,3.52,-0.03,0.30,-0.45,-0.010
0,0,73,3.56,3.52,-0.04,0.44,0.26,-0.010
0,0,74,3.56,3.52,-0.04,0.50,-0.22,-0.010
0,0,75,3.56,3.52,-0.05,0.35,-0.24,-0.011
0,0,76,3.56,3.52,-0.06,0.45,-0.77,-0.011
0,0,77,3.55,3.52,-0.07,0.29,-0.66,-0.011
0,0,78,3.55,3.51,-0.08,0.23,-0.40,-0.011
0,0,79,3.55,3.51,-0.09,0.11,0.13,-0.011
0,0,80,3.55,3.51,-0.11,0.22,-0.23,-0.011
0,0,81,3.55,3.51,-0.12,0.40,0.35,-0.011
0,0,82,3.54,3.51,-0.13,0.14,0.42,-0.011
0,0,83,3.54,3.50,-0.15,0.25,-0.88,-0.012
0,0,84,3.54,3.50,-0.16,0.29,-0.84,-0.012
0,0,85,3.53,3.50,-0.17,0.26,-0.05,-0.012
0,0,86,3.53,3.50,-0.19,0.14,-0.24,-0.012
0,0,87,3.53,3.49,-0.20,0.32,-0.75,-0.012
0,0,88,3.52,3.49,-0.22,0.34,-0.66,-0.012
0,0,89,3.52,3.49,-0.23,0.37,0.26,-0.012
0,0,90,3.51,3.48,-0.25,0.36,-0.31,-0.013
0,0,91,3.51,3.48,-0.27,0.34,-0.16,-0.013
0,0,92,3.50,3.47,-0.28,0.26,-0.20,-0.013
0,0,93,3.50,3.47,-0.30,0.17,-0.82,-0.013
0,0,94,3.49,3.46,-0.32,0.35,-0.74,-0.013
0,0,95,3.48,3.46,-0.34,0.11,-0.83,-0.014
0,0,96,3.48,3.46,-0.37,0.44,0.31,-0.014
0,0,97,3.47,3.45,-0.39,0.23,-0.74,-0.014
0,0,98,3.46,3.44,-0.39,0.24,-0.79,-0.014
0,0,99,3.45,3.44,-0.41,0.14,-0.67,-0.014
0,0,100,3.44,3.44,-0.43,0.23,0.03,-0.015
0,0,101,3.44,3.43,-0.46,0.22,-0.70,-0.015
0,0,102,3.43,3.43,-0.49,0.19,-0.23,-0.015
0,0,103,3.42,3.42,-0.52,0.52,-0.44,-0.015
0,0,104,3.40,3.42,-0.55,0.27,-0.76,-0.015
0,0,105,3.39,3.41,-0.59,0.15,-0.63,-0.016
0,0,106,3.38,3.41,-0.63,0.17,-0.51,-0.016
0,0,107,3.37,3.41,-0.45,0.24,-0.59,-0.015
0,0,108,3.37,3.41,-0.14,0.43,0.09,-0.015
0,0,109,3.37,3.42,0.27,0.29,-0.13,-0.014
0,0,110,3.38,3.42,0.46,0.34,-0.18,-0.014
0,0,111,3.39,3.43,0.45,0.49,-0.51,-0.014
0,0,112,3.40,3.43,0.41,0.21,-0.83,-0.014
0,0,113,3.41,3.43,0.37,0.09,-0.30,-0.014
0,0,114,3.41,3.44,0.36,0.37,-0.60,-0.014
0,0,115,3.42,3.44,0.35,0.39,-0.73,-0.014
0,0,116,3.43,3.45,0.32,0.29,-0.15,-0.014
0,0,117,3.43,3.45,0.29,0.44,-0.52,-0.014
0,0,118,3.44,3.46,0.27,0.54,-0.44,-0.014
0,0,119,3.44,3.46,0.25,0.35,-0.46,-0.013
0,0,120,3.45,3.47,0.22,0.11,-0.12,-0.013
0,0,121,3.45,3.47,0.20,0.13,-0.52,-0.013
0,0,122,3.45,3.47,0.18,0.33,-0.34,-0.013
0,0,123,3.46,3.48,0.16,0.30,-0.24,-0.013
0,0,124,3.46,3.48,0.14,0.47,-0.58,-0.013
0,0,125,3.46,3.48,0.12,0.12,-0.38,-0.013
0,0,126,3.46,3.49,0.09,0.41,0.11,-0.013
0,0,127,3.46,3.49,0.08,0.34,-0.45,-0.013
0,0,128,3.47,3.49,0.06,0.16,-0.52,-0.012
0,0,129,3.47,3.49,0.04,0.22,-0.18,-0.012
0,0,130,3.47,3.49,0.02,0.28,-0.66,-0.012
0,0,131,3.47,3.50,-0.00,0.52,-0.43,-0.012
0,0,132,3.47,3.50,-0.00,0.41,-0.52,-0.012
0,0,133,3.47,3.50,-0.04,0.46,-0.56,-0.013
0,0,134,3.46,3.50,-0.05,0.34,-0.56,-0.013
0,0,135,3.46,3.50,-0.07,0.05,-0.64,-0.013
0,0,136,3.46,3.50,-0.09,0.22,-0.35,-0.013
0,0,137,3.46,3.50,-0.11,0.17,-0.60,-0.013
0,0,138,3.46,3.50,-0.13,0.34,-0.67,-0.013
0,0,139,3.45,3.50,-0.15,0.13,0.19,-0.013
0,0,140,3.45,3.50,-0.18,0.20,-0.69,-0.014
0,0,141,3.45,3.50,-0.20,0.11,-0.13,-0.014
0,0,142,3.44,3.50,-0.22,0.22,-0.69,-0.014
0,0,143,3.44,3.50,-0.25,0.10,-0.15,-0.014
0,0,144,3.43,3.50,-0.27,0.34,-0.07,-0.014
0,0,145,3.43,3.50,-0.30,0.16,-0.10,-0.014
0,0,146,3.42,3.50,-0.32,0.14,-0.41,-0.014
0,0,147,3.41,3.50,-0.35,0.12,-0.75,-0.015
0,0,148,3.40,3.49,-0.38,0.09,-0.20,-0.015
0,0,149,3.40,3.49,-0.41,0.24,-0.51,-0.015
0,0,150,3.39,3.49,-0.44,0.26,-0.30,-0.015
0,0,151,3.38,3.49,-0.48,0.21,-0.44,-0.015
0,0,152,3.37,3.49,-0.45,0.38,-0.66,-0.015
0,0,153,3.36,3.48,-0.12,0.30,-0.51,-0.014
0,0,154,3.36,3.47,0.40,0.23,-0.38,-0.014
0,0,155,3.37,3.47,0.42,0.19,-0.64,-0.014
0,0,156,3.38,3.46,0.40,0.51,-0.70,-0.013
0,0,157,3.39,3.45,0.41,0.20,0.12,-0.013
0,0,158,3.39,3.45,0.38,0.23,-0.29,-0.013
0,0,159,3.40,3.44,0.35,0.22,-0.54,-0.013
0,0,160,3.41,3.43,0.32,0.18,-0.18,-0.013
0,0,161,3.41,3.43,0.29,0.52,0.27,-0.012
0,0,162,3.42,3.42,0.27,0.08,-0.72,-0.012
0,0,163,3.42,3.41,0.24,0.07,-0.48,-0.012
0,0,164,3.43,3.41,0.22,0.21,-0.41,-0.012
0,0,165,3.43,3.40,0.20,0.13,-0.50,-0.012
0,0,166,3.43,3.40,0.17,0.05,-0.39,-0.011
0,0,167,3.44,3.39,0.15,0.16,-0.66,-0.011
